created:2023-01-29 11:49:49 UTC
ephemeris_start:2023-01-29 11:24:42 UTC ephemeris_stop:2023-02-01 11:24:42 UTC step_size:60
ephemeris_source:blend
UVW
2023029112442.000 144.6450701293 -4608.8948394102 5147.4098792260 6.7502446333 2.6902349353 2.2136255084
4.6174297513e-07 -3.6270541815e-07 7.3200274340e-07 -1.7006146880e-11 -1.3476301789e-10 1.1624096269e-06 7.9309527552e-10
-8.4753626108e-10 1.1037278211e-12 1.8600942263e-12 -4.4546775285e-10 3.7882691170e-10 -1.5635992606e-12 -7.7686781810e-13
4.7745393772e-13 -2.2152072399e-13 5.5763946783e-13 1.5726577205e-09 1.5680789721e-17 -1.7849376721e-15 5.5308914967e-12
2023029112542.000 549.0537541854 -4437.6063020316 5268.9420266942 6.7251641023 3.0173098121 1.8359812547
5.1069501203e-07 -4.2621714905e-07 8.3321761111e-07 4.6558602153e-12 -2.5501593942e-10 1.3654637949e-06 8.8985087939e-10
-9.8225884810e-10 1.3896102577e-12 2.0677240589e-12 -4.9453222729e-10 4.4354301989e-10 -1.9015497131e-12 -8.7448230037e-13
5.2668874114e-13 -2.2155887440e-14 1.8080886684e-13 1.8069283626e-09 6.5820799745e-16 -2.3526000852e-15 5.3150718142e-12
2023029112642.000 951.0817288727 -4247.0797937487 5367.5686555581 6.6709291204 3.3312765469 1.4503875450
5.6281908581e-07 -4.9749410679e-07 9.5155503523e-07 4.3450634384e-11 -4.3391608657e-10 1.5948895656e-06 9.9402653174e-10
-1.1349133654e-09 1.7745107185e-12 2.2910164371e-12 -5.4689578738e-10 5.1618699079e-10 -2.2976148269e-12 -9.7985637961e-13
5.7936083545e-13 2.0647491287e-13 -2.7448460966e-13 2.0116133288e-09 1.3967477914e-15 -2.9098629553e-15 5.0674736170e-12
2023029112742.000 1348.9867669572 -4038.1424693286 5442.8629234955 6.5877795249 3.6307809219 1.0585158406
6.1795346935e-07 -5.7685590908e-07 1.0890375122e-06 1.0196756322e-10 -6.8141420302e-10 1.8469237581e-06 1.1055878678e-09
-1.3070715547e-09 2.2695420058e-12 2.5310960358e-12 -6.0240671127e-10 5.9710937948e-10 -2.7471114666e-12 -1.0929757342e-12
6.3533562421e-13 4.6183340058e-13 -8.0276048611e-13 2.1831704949e-09 2.2164045225e-15 -3.4458369351e-15 4.7926349443e-12
2023029112842.000 1741.0441551549 -3811.7012166877 5494.4989328301 6.4760781179 3.9145309280 0.6620636924
6.7589736442e-07 -6.6456557929e-07 1.2477591525e-06 1.8325178177e-10 -1.0061596091e-09 2.1174053295e-06 1.2244666189e-09
-1.5003230135e-09 2.8849236863e-12 2.7891010795e-12 -6.6086365031e-10 6.8658051901e-10 -3.2440485245e-12 -1.2137512952e-12
6.9441324211e-13 7.4187229552e-13 -1.3964567384e-12 2.3186256362e-09 3.0993402177e-15 -3.9486574278e-15 4.4955709218e-12
2023029112942.000 2125.5547293598 -3568.7383867883 5522.2532935492 6.3363101295 4.1813020471 0.2627483468
7.3640772381e-07 -7.6081216876e-07 1.4298726227e-06 2.9009485852e-10 -1.4154166901e-09 2.4018546562e-06 1.3505388143e-09
-1.7162637827e-09 3.6275053557e-12 3.0661605746e-12 -7.2201974877e-10 7.8479594520e-10 -3.7807618239e-12 -1.3420399625e-12
7.5634656583e-13 1.0429534135e-12 -2.0453524897e-12 2.4156304950e-09 4.0240560815e-15 -4.4073735132e-15 4.1816784681e-12
2023029113042.000 2500.8520896307 -3310.3076126267 5526.0060387505 6.1690818704 4.4299437932 -0.1377016336
7.9920377942e-07 -8.6570373923e-07 1.6375684181e-06 4.2495671799e-10 -1.9147439732e-09 2.6955498878e-06 1.4836241484e-09
-1.9564838150e-09 4.5006149969e-12 3.3633893401e-12 -7.8558608217e-10 8.9186411593e-10 -4.3482527620e-12 -1.4776361236e-12
8.2084192024e-13 1.3601104316e-12 -2.7367489834e-12 2.4725020277e-09 4.9660468950e-15 -4.8119737922e-15 3.8566448169e-12
2023029113142.000 2865.3097195278 -3037.5292198730 5505.7410393437 5.9751156210 4.6593838885 -0.5375544357
8.6397130870e-07 -9.7926010716e-07 1.8730526766e-06 5.8983708065e-10 -2.5077017579e-09 2.9936086303e-06 1.6234831013e-09
-2.2225531890e-09 5.5037958400e-12 3.6818795716e-12 -8.5123587839e-10 1.0077977589e-09 -4.9363812470e-12 -1.6202677398e-12
8.8756325511e-13 1.6870793351e-12 -3.4555081086e-12 2.4882514096e-09 5.8984148235e-15 -5.1534570653e-15 3.5263497559e-12
2023029113242.000 3217.3478525753 -2751.5854607164 5461.5460712028 5.7552474759 4.8686312766 -0.9350792195
9.3036750083e-07 -1.1014068539e-06 2.1385231207e-06 7.8620910543e-10 -3.1955575468e-09 3.2910724015e-06 1.7698147913e-09
-2.5160073429e-09 6.6327893121e-12 4.0226918239e-12 -9.1860937634e-10 1.1325064154e-09 -5.5340702156e-12 -1.7695931055e-12
9.5613699708e-13 2.0164218522e-12 -4.1841143973e-12 2.4626011562e-09 6.7926228386e-15 -5.4238921572e-15 3.1967646045e-12
2023029113342.000 3555.4402697256 -2453.7154607239 5393.6125390895 5.5104254416 5.0567820511 -1.3285541981
9.9802628743e-07 -1.2319707097e-06 2.4361435113e-06 1.0149385758e-09 -3.9771254371e-09 3.5829924125e-06 1.9222555407e-09
-2.8383315038e-09 7.8795795620e-12 4.3868453821e-12 -9.8731927261e-10 1.2657904363e-09 -6.1296908579e-12 -1.9251984591e-12
1.0261576163e-12 2.3396588913e-12 -4.9029344184e-12 2.3959900794e-09 7.6192054641e-15 -5.6167052379e-15 2.8738496192e-12
2023029113442.000 3878.1208527448 -2145.2098886972 5302.2346644380 5.2417041328 5.2230223132 -1.7162750030
1.0665640537e-06 -1.3706764226e-06 2.7680169687e-06 1.2761066813e-09 -4.8488015222e-09 3.8645152087e-06 2.0803782264e-09
-3.1909444859e-09 9.2323209533e-12 4.7753081363e-12 -1.0569566642e-09 1.4073365623e-09 -6.7115785104e-12 -2.0865964797e-12
1.0971938065e-12 2.6473577328e-12 -5.5906379205e-12 2.2895659875e-09 8.3483160023e-15 -5.7270191220e-15 2.5634515156e-12
2023029113542.000 4183.9898714826 -1827.4054814622 5187.8082570513 4.9502413561 5.3666310043 -2.0965608166
1.1355856530e-06 -1.5171452050e-06 3.1361585336e-06 1.5688624469e-09 -5.8046124026e-09 4.1309667027e-06 2.2436925046e-09
-3.5751820628e-09 1.0675431459e-11 5.1889861341e-12 -1.1270973882e-09 1.5567151835e-09 -7.2684056664e-12 -2.2532257510e-12
1.1687951562e-12 2.9292907820e-12 -6.2245201359e-12 2.1451662315e-09 8.9503247158e-15 -5.7516685841e-15 2.2712027983e-12
2023029113642.000 4471.7200728905 -1501.6793414289 5050.8290865475 4.6372942512 5.4869838256 -2.4677618355
1.2046905801e-06 -1.6708947954e-06 3.5424674287e-06 1.8912873710e-09 -6.8362873595e-09 4.3779331580e-06 2.4116458843e-09
-3.9922801496e-09 1.2189780915e-11 5.6287128797e-12 -1.1973086728e-09 1.7133794563e-09 -7.7894623482e-12 -2.4244513304e-12
